Dif	Group
36106177	sim
25184761	sim
43410529	sim
17869429	sim
27245462	sim
11265111	sim
46495020	sim
29078968	sim
14431380	sim
62699172	sim
6011281	sim
2840781	sim
3165839	sim
51742197	sim
52468711	sim
8908743	sim
5874137	sim
21749142	sim
113137474	sim
9902135	sim
51912180	sim
598223	sim
31822917	sim
17914923	sim
9338567	sim
16245537	sim
62391616	sim
14526467	sim
8724939	sim
51042002	sim
690046	sim
16217569	sim
9656742	sim
16479126	sim
86532505	sim
57328730	sim
19085715	sim
26192680	sim
36040329	sim
32151131	sim
43417603	sim
4405816	sim
29143546	sim
9685146	sim
55026563	sim
13030080	sim
32877339	sim
20917463	sim
25468546	sim
21853749	sim
7456273	sim
17192286	sim
46292043	sim
36460253	sim
37962604	sim
10469785	sim
5809659	sim
53648990	sim
69611092	sim
109880471	sim
1667942	sim
17443157	sim
11305341	sim
405386	sim
71658059	sim
35486238	sim
13412919	sim
43630563	sim
4125750	sim
73389243	sim
11929172	sim
18180046	sim
2269672	sim
13888635	sim
101778052	sim
8672280	sim
22198389	sim
71029281	sim
37337922	sim
18293025	sim
41889537	sim
2620259	sim
18850279	sim
28596023	sim
25470993	sim
12164189	sim
63222640	sim
33702917	sim
63954104	sim
1778653	sim
27807344	sim
45958912	sim
7023072	sim
51146879	sim
13570165	sim
2330332	sim
7902479	sim
15312074	sim
52806138	sim
15653999	sim
26548393	sim
23713023	sim
21224531	sim
20091008	sim
39947473	sim
10245517	sim
32429173	sim
3232477	sim
33379534	sim
47913526	sim
12397520	sim
4301125	sim
25862622	sim
18083719	sim
5050384	sim
17134153	sim
70888381	sim
32160265	sim
17254029	sim
33176129	sim
64792536	sim
2341577	sim
28948010	sim
20459874	sim
27560351	sim
84732290	sim
5241869	sim
13698170	sim
5913351	sim
12007581	sim
20703879	sim
4856357	sim
35480851	sim
2529932	sim
41805019	sim
14292292	sim
29823686	sim
18210540	sim
69482781	sim
1889207	sim
2959568	sim
80875645	sim
2607168	sim
64118	sim
83007072	sim
9837542	sim
31606376	sim
2603676	sim
45938872	sim
17790916	sim
38271491	sim
2259466	sim
21616271	sim
4204112	sim
81172907	sim
77912281	sim
19314478	sim
24239506	sim
20094022	sim
6654547	sim
62812618	sim
19113431	sim
6678677	sim
19153485	sim
33937966	sim
69387232	sim
4858693	sim
30862556	sim
74370333	sim
30876900	sim
2409318	sim
1300496	sim
13375284	sim
34047636	sim
32243803	sim
38219692	sim
20202895	sim
17642967	sim
44236629	sim
662177	sim
21546996	sim
52756335	sim
24860247	sim
2094124	sim
33724323	sim
1342123	sim
112403072	sim
8705303	sim
3023642	sim
31669482	sim
57488141	sim
26625597	sim
14101372	sim
22623764	sim
